,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
37,2662,40,1,4163,323.18625411,-0.87466153,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1656.845,91.871,22.072,0.109,0.49,0.24,0,1654.526,78.97,21.323,0.061,1.0,-0.14,0,1652.514,82.317,21.214,0.087,0.84,-0.02,0,1652.7,86.864,21.457,0.385,0.9,-0.6,0
38,2662,40,1,5442,323.18626792,-0.86553714,1740.421,86.888,18.685,0.018,0.71,0.03,0,1739.854,92.006,17.369,0.015,1.61,-0.01,0,1737.491,79.099,16.919,0.029,1.98,-0.01,0,1735.452,82.449,16.76,0.015,0.91,-0.02,0,1735.671,87.021,16.694,0.019,1.36,-0.16,0
39,2662,40,1,66,323.18667473,-1.04310206,9999.99,9999.99,99.999,9.999,9.99,9.99,9,124.743,95.692,21.297,0.043,0.4,-0.01,0,123.229,82.905,20.014,0.044,1.45,0.09,0,121.711,86.185,19.324,0.024,0.74,0.04,0,121.3,90.257,18.892,0.051,1.13,0.05,0
40,2662,40,1,135,323.18680283,-1.0328972,218.872,92.433,21.707,0.13,0.47,0.31,0,217.5,96.847,20.935,0.039,0.49,0.01,0,215.938,84.054,20.606,0.041,1.03,0.03,0,214.39,87.338,20.449,0.042,0.7,0.08,0,214.015,91.438,20.408,0.162,1.02,-0.1,0
41,2662,40,1,305,323.18682876,-1.00451564,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,473.847,84.252,22.069,0.119,1.08,0.06,0,472.215,87.547,21.258,0.089,0.78,0.0,0,471.941,91.727,20.492,0.159,0.93,-0.36,0
42,2662,40,1,431,323.18757565,-0.98744072,9999.99,9999.99,99.999,9.999,9.99,9.99,9,630.83,103.847,22.314,0.15,0.54,0.37,0,629.052,91.024,21.034,0.045,0.88,-0.02,0,627.368,94.325,20.326,0.042,0.75,-0.02,0,627.156,98.554,19.949,0.1,0.95,-0.24,0
43,2662,40,1,1395,323.18791427,-0.91768952,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1263.258,94.061,22.301,0.149,1.15,0.1,0,1261.369,97.39,21.03,0.077,0.85,-0.02,0,1261.406,101.816,20.165,0.112,0.91,0.07,0
44,2662,40,1,1295,323.18806476,-0.92171801,1229.554,103.419,21.278,0.118,0.63,0.09,0,1228.716,108.297,20.276,0.031,0.59,-0.08,0,1226.625,95.43,19.943,0.025,0.86,-0.01,0,1224.746,98.758,19.925,0.033,0.77,-0.09,0,1224.77,103.172,19.692,0.09,1.11,-0.16,0
45,2662,40,1,7457,323.18825569,-0.85530381,1833.464,104.931,21.064,0.088,0.55,-0.13,0,1832.946,110.088,20.035,0.02,0.52,0.04,0,1830.536,97.176,19.801,0.04,1.47,-0.01,0,1828.462,100.53,19.694,0.034,0.89,0.03,0,1828.723,105.133,19.553,0.097,1.32,-0.29,0
46,2662,40,1,42,323.18826272,-1.04841757,77.879,105.785,21.169,0.082,0.47,-0.16,0,76.432,110.132,20.118,0.024,0.59,0.08,0,74.946,97.351,19.771,0.026,0.96,0.04,0,73.44,100.628,19.605,0.036,0.97,0.02,0,73.014,104.685,19.55,0.078,1.02,0.0,0
47,2662,40,1,8728,323.18829275,-0.85011669,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1880.13,110.431,22.471,0.143,0.45,0.68,0,1877.696,97.516,21.975,0.095,0.96,-0.29,0,1875.607,100.872,21.715,0.13,0.82,0.26,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
48,2662,40,1,512,323.18910015,-0.97649959,9999.99,9999.99,99.999,9.999,9.99,9.99,9,730.345,117.702,23.239,0.271,0.42,-0.1,0,728.517,104.874,21.958,0.088,0.88,-0.02,0,726.797,108.179,21.259,0.06,0.54,0.04,0,726.628,112.44,20.454,0.165,1.02,0.08,0
49,2662,40,1,11323,323.18911872,-0.84039355,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1968.571,117.952,22.304,0.125,0.46,0.26,0,1966.092,105.032,21.816,0.107,1.23,-0.1,0,1963.972,108.392,21.367,0.081,0.69,0.07,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
50,2662,40,1,8949,323.18961644,-0.8492636,1888.379,117.286,22.22,0.266,0.59,-1.15,0,1887.89,122.465,21.128,0.044,0.46,-0.1,0,1885.453,109.551,20.736,0.041,0.97,0.03,0,1883.358,112.907,20.601,0.051,0.78,-0.05,0,1883.643,117.527,20.389,0.167,1.09,-0.17,0
51,2662,40,1,5558,323.19015038,-0.86490247,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1745.626,127.3,23.038,0.266,0.49,0.55,0,1743.265,114.397,21.839,0.116,1.3,0.34,0,1741.215,117.747,20.543,0.062,1.0,-0.14,0,1741.446,122.323,19.572,0.086,1.16,0.22,0
