,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
1973,5390,40,5,4320,199.08717485,17.7129599,773.548,1437.368,22.371,0.194,0.45,0.13,0,774.658,1440.971,21.178,0.039,1.04,0.16,0,772.85,1430.63,20.526,0.094,2.92,0.95,1,774.581,1433.317,20.57,0.096,1.41,0.39,1,774.078,1437.434,21.274,0.221,0.7,0.56,0.0
1974,5390,40,5,5723,199.08717665,17.73456459,969.508,1423.012,21.248,0.081,0.52,-0.12,0,970.653,1426.59,20.326,0.021,0.93,0.04,0,968.736,1416.237,20.136,0.022,0.89,-0.08,0,970.522,1418.931,20.04,0.04,0.81,0.07,0,970.053,1423.049,20.282,0.123,1.0,-0.16,0.0
1975,5390,40,5,3889,199.08718939,17.70730577,722.275,1441.252,21.103,0.104,0.68,-0.12,0,723.377,1444.862,20.08,0.026,1.27,-0.08,0,721.597,1434.525,19.863,0.021,0.98,-0.07,0,723.313,1437.209,19.747,0.033,0.84,-0.08,0,722.801,1441.327,19.897,0.077,0.86,-0.06,0.0
1976,5390,40,5,2225,199.08722842,17.68797729,547.011,1454.437,20.733,0.074,0.71,-0.34,0,548.082,1458.069,19.822,0.022,1.19,0.11,0,546.399,1447.743,19.644,0.021,1.08,-0.04,0,548.066,1450.42,19.536,0.024,0.67,0.07,0,547.524,1454.538,19.609,0.08,1.11,0.09,0.0
1977,5390,40,5,5876,199.08723061,17.73784727,999.318,1421.294,22.649,0.282,0.51,0.17,0,1000.467,1424.868,21.75,0.054,1.02,-0.01,0,998.534,1414.513,21.368,0.069,1.12,0.36,0,1000.329,1417.208,20.954,0.073,0.8,0.13,0,999.864,1421.326,20.673,0.203,1.17,0.39,0.0
1978,5390,40,5,3612,199.08723668,17.70413064,9999.99,9999.99,99.999,9.999,9.99,9.99,9,694.605,1447.385,22.376,0.097,1.11,-0.06,0,692.841,1437.05,21.946,0.087,0.9,0.11,0,694.55,1439.733,21.712,0.126,0.74,-0.26,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9.0
1979,5390,40,5,1032,199.08726385,17.6682504,368.167,1467.847,21.614,0.135,0.6,-0.5,0,369.208,1471.503,20.642,0.031,1.16,-0.03,0,367.623,1461.187,20.451,0.03,0.99,-0.12,0,369.24,1463.858,20.366,0.049,0.84,-0.08,0,368.667,1467.975,20.218,0.093,0.8,0.18,0.0
1980,5390,40,5,2869,199.08727428,17.69562432,616.388,1449.751,21.599,0.127,0.59,0.59,0,617.471,1453.375,20.777,0.052,1.79,0.35,0,615.749,1443.044,20.48,0.056,1.81,0.55,0,617.436,1445.724,20.389,0.074,1.26,0.45,0,616.906,1449.842,20.707,0.188,1.07,-0.08,0.0
1981,5390,40,5,3856,199.08729763,17.70684519,718.167,1442.494,22.829,0.314,0.48,1.09,0,719.268,1446.104,21.763,0.062,1.1,-0.02,0,717.49,1435.767,21.323,0.063,1.08,-0.07,0,719.206,1438.451,21.352,0.106,0.85,0.28,0,718.693,1442.569,20.758,0.166,0.88,-0.33,0.0
1982,5390,40,5,800,199.08730891,17.66280095,318.793,1471.854,21.668,0.114,0.5,-0.3,0,319.825,1475.516,20.76,0.032,1.12,0.1,0,318.268,1465.204,20.552,0.032,1.01,0.04,0,319.871,1467.872,20.512,0.048,0.75,0.02,0,319.29,1471.99,20.359,0.145,1.11,0.15,0.0
1983,5390,40,5,5492,199.08732165,17.72977841,9999.99,9999.99,99.999,9.999,9.99,9.99,9,927.325,1431.032,22.454,0.098,1.09,0.25,0,925.432,1420.682,22.015,0.09,0.89,0.16,0,927.206,1423.375,21.781,0.135,0.74,-0.07,0,926.729,1427.493,21.235,0.361,1.21,-0.67,0.0
1984,5390,40,5,6279,199.08734673,17.74967018,1106.628,1414.428,21.797,0.149,0.59,-0.26,0,1107.796,1417.988,21.203,0.038,1.0,-0.19,0,1105.804,1407.627,20.986,0.048,1.09,0.05,0,1107.629,1410.326,20.803,0.058,0.72,-0.1,0,1107.183,1414.444,20.748,0.177,0.93,0.52,0.0
1985,5390,40,5,650,199.08735069,17.65886742,9999.99,9999.99,99.999,9.999,9.99,9.99,9,284.189,1478.493,22.717,0.113,1.03,-0.25,0,282.651,1468.183,22.42,0.118,0.84,-0.44,0,284.244,1470.85,21.838,0.114,0.62,-0.14,0,283.657,1474.968,21.109,0.24,0.9,-0.37,0.0
1986,5390,40,5,3480,199.08735071,17.70265276,9999.99,9999.99,99.999,9.999,9.99,9.99,9,681.272,1449.355,22.343,0.102,1.22,0.19,0,679.515,1439.02,21.907,0.078,0.85,-0.03,0,681.22,1441.703,21.842,0.144,0.76,-0.01,0,680.701,1445.82,21.163,0.256,0.94,0.1,0.0
1987,5390,40,5,2712,199.08735698,17.69380293,599.923,1451.676,22.085,0.152,0.46,0.15,0,601.003,1455.302,21.307,0.038,0.94,0.0,0,599.29,1444.972,21.031,0.053,1.15,-0.04,0,600.973,1447.651,20.933,0.064,0.73,0.04,0,600.44,1451.769,20.713,0.165,0.92,-0.47,0.0
1988,5390,40,5,3565,199.08738619,17.70357319,9999.99,9999.99,99.999,9.999,9.99,9.99,9,689.644,1449.049,22.116,0.082,1.14,0.25,0,687.882,1438.713,21.734,0.069,0.86,0.0,0,689.59,1441.396,21.506,0.124,0.85,-0.28,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9.0
1989,5390,40,5,2648,199.08739149,17.69302271,592.869,1452.493,21.646,0.154,0.68,0.63,0,593.948,1456.12,20.86,0.056,1.78,0.44,0,592.239,1445.79,20.533,0.047,1.42,0.48,0,593.919,1448.47,20.488,0.09,1.39,0.36,0,593.385,1452.587,20.593,0.216,1.33,1.03,0.0
